"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","FAM1213_1K","FAM1450_1K","FAM19191_1K","FAM22076_1K","FAM23285_1K","FAM8102_1K"
"tag","","DNA-3-methyladenine glycosylase 1","6","6","1","1","2262","","","","572","572","572","FAM1213_1K_00721","FAM1450_1K_00326","FAM19191_1K_00528","FAM22076_1K_00041","FAM23285_1K_00544","FAM8102_1K_00660"
"phnE_1","","Phosphate-import permease protein PhnE","6","6","1","1","2263","","","","812","812","812","FAM1213_1K_00722","FAM1450_1K_00327","FAM19191_1K_00529","FAM22076_1K_00040","FAM23285_1K_00543","FAM8102_1K_00661"
"glnQ_1","","Glutamine transport ATP-binding protein GlnQ","6","6","1","1","2265","","","","773","794","776","FAM1213_1K_00724","FAM1450_1K_00329","FAM19191_1K_00531","FAM22076_1K_00038","FAM23285_1K_00541","FAM8102_1K_00663"
"group_1003","","hypothetical protein","6","6","1","1","2269","","","","497","497","497","FAM1213_1K_00728","FAM1450_1K_00489","FAM19191_1K_00535","FAM22076_1K_00034","FAM23285_1K_00537","FAM8102_1K_00667"
"group_1004","","hypothetical protein","6","6","1","1","2740","","","","659","659","659","FAM1213_1K_00733","FAM1450_1K_00719","FAM19191_1K_00838","FAM22076_1K_00318","FAM23285_1K_00777","FAM8102_1K_00911"
"group_1005","","hypothetical protein","6","6","1","1","2745","","","","308","308","308","FAM1213_1K_00738","FAM1450_1K_00714","FAM19191_1K_00843","FAM22076_1K_00313","FAM23285_1K_00782","FAM8102_1K_00916"
"group_1006","","hypothetical protein","6","6","1","1","2749","","","","797","842","804","FAM1213_1K_00742","FAM1450_1K_00710","FAM19191_1K_00847","FAM22076_1K_00309","FAM23285_1K_00786","FAM8102_1K_00920"
"ftsZ","","Cell division protein FtsZ","6","6","1","1","2753","","","","1319","1358","1325","FAM1213_1K_00746","FAM1450_1K_00706","FAM19191_1K_00851","FAM22076_1K_00305","FAM23285_1K_00790","FAM8102_1K_00924"
"rsmH","","Ribosomal RNA small subunit methyltransferase H","6","6","1","1","2762","","","","962","992","985","FAM1213_1K_00754","FAM1450_1K_00697","FAM19191_1K_00860","FAM22076_1K_00296","FAM23285_1K_00799","FAM8102_1K_00933"
"group_1010","","hypothetical protein","6","6","1","1","2789","","","","539","539","539","FAM1213_1K_00761","FAM1450_1K_01666","FAM19191_1K_01580","FAM22076_1K_01516","FAM23285_1K_01574","FAM8102_1K_01690"
"mreC","","Cell shape-determining protein MreC","6","6","1","1","2790","","","","851","851","851","FAM1213_1K_00762","FAM1450_1K_01665","FAM19191_1K_01579","FAM22076_1K_01517","FAM23285_1K_01573","FAM8102_1K_01689"
"fpgS","","Folylpolyglutamate synthase","6","6","1","1","2794","","","","1274","1274","1274","FAM1213_1K_00766","FAM1450_1K_01661","FAM19191_1K_01575","FAM22076_1K_01521","FAM23285_1K_01569","FAM8102_1K_01685"
"group_1014","","hypothetical protein","6","6","1","1","2797","","","","164","221","211","FAM1213_1K_00769","FAM1450_1K_01883","FAM19191_1K_01421","FAM22076_1K_01845","FAM23285_1K_01883","FAM8102_1K_01468"
"group_1015","","hypothetical protein","6","6","1","1","1092","","","","929","929","929","FAM1213_1K_00774","FAM1450_1K_01403","FAM19191_1K_02102","FAM22076_1K_01740","FAM23285_1K_02133","FAM8102_1K_02178"
"rpsR","","30S ribosomal protein S18","6","6","1","1","1068","","","","230","236","233","FAM1213_1K_00779","FAM1450_1K_00520","FAM19191_1K_00668","FAM22076_1K_00637","FAM23285_1K_00463","FAM8102_1K_00799"
"misCA","","Membrane protein insertase MisCA","6","6","1","1","1057","","","","875","875","875","FAM1213_1K_00790","FAM1450_1K_00509","FAM19191_1K_00679","FAM22076_1K_00626","FAM23285_1K_00474","FAM8102_1K_00810"
"mnmG","","tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG","6","6","1","1","1055","","","","1898","1985","1970","FAM1213_1K_00792","FAM1450_1K_00507","FAM19191_1K_00681","FAM22076_1K_00624","FAM23285_1K_00476","FAM8102_1K_00812"
"gndA","","6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating","6","6","1","1","1054","","","","1403","1403","1403","FAM1213_1K_00794","FAM1450_1K_00506","FAM19191_1K_00682","FAM22076_1K_00623","FAM23285_1K_00477","FAM8102_1K_00813"
"group_1020","","hypothetical protein","6","6","1","1","1047","","","","287","287","287","FAM1213_1K_00801","FAM1450_1K_00499","FAM19191_1K_00689","FAM22076_1K_00616","FAM23285_1K_00484","FAM8102_1K_00820"
"group_1021","","hypothetical protein","6","6","1","1","1045","","","","440","440","440","FAM1213_1K_00803","FAM1450_1K_00497","FAM19191_1K_00691","FAM22076_1K_00614","FAM23285_1K_00486","FAM8102_1K_00822"
"group_1022","","hypothetical protein","6","6","1","1","1044","","","","254","254","254","FAM1213_1K_00804","FAM1450_1K_00496","FAM19191_1K_00692","FAM22076_1K_00613","FAM23285_1K_00487","FAM8102_1K_00823"
"group_1023","","hypothetical protein","6","6","1","1","2810","","","","503","503","503","FAM1213_1K_00809","FAM1450_1K_00335","FAM19191_1K_01727","FAM22076_1K_01708","FAM23285_1K_01648","FAM8102_1K_01788"
"group_1025","","hypothetical protein","6","6","1","1","2817","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","740","740","740","FAM1213_1K_00815","FAM1450_1K_02195","FAM19191_1K_01976","FAM22076_1K_01703","FAM23285_1K_01987","FAM8102_1K_02075"
"group_1026","","hypothetical protein","6","6","1","1","2846","","","","821","821","821","FAM1213_1K_00818","FAM1450_1K_00801","FAM19191_1K_01941","FAM22076_1K_01827","FAM23285_1K_01977","FAM8102_1K_02041"
"sugC","","Trehalose import ATP-binding protein SugC","6","6","1","1","2842","","","","1085","1085","1085","FAM1213_1K_00822","FAM1450_1K_00805","FAM19191_1K_01478","FAM22076_1K_01125","FAM23285_1K_01406","FAM8102_1K_01896"
"group_1028","","hypothetical protein","6","6","1","1","2835","","","","950","950","950","FAM1213_1K_00828","FAM1450_1K_00812","FAM19191_1K_01471","FAM22076_1K_01118","FAM23285_1K_01400","FAM8102_1K_01974"
