"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","FAM1213_1K","FAM1450_1K","FAM19191_1K","FAM22076_1K","FAM23285_1K","FAM8102_1K"
"artQ_2","","Arginine transport system permease protein ArtQ","3","3","1","192","7","191","8","","647","647","647","FAM1213_1K_01620","FAM1450_1K_00345","","FAM22076_1K_00957","",""
"dppE_3","","hypothetical protein","3","3","1","197","28","197","31","","317","1361","725","FAM1213_1K_01535","FAM1450_1K_01624","","FAM22076_1K_01268","",""
"fliY","","L-cystine-binding protein FliY","3","3","1","192","4","191","12","","803","803","803","FAM1213_1K_01622","FAM1450_1K_00343","","FAM22076_1K_00959","",""
"frc","","Formyl-CoA:oxalate CoA-transferase","3","3","1","199","32","199","34","","461","581","501","FAM1213_1K_00264","FAM1450_1K_00954","","FAM22076_1K_01327","",""
"group_1058","","hypothetical protein","3","3","1","181","6","181","10","","155","203","187","FAM1213_1K_00962","FAM1450_1K_00486","","FAM22076_1K_00031","",""
"group_1136","","hypothetical protein","3","3","1","200","109","200","18","","431","482","465","FAM1213_1K_01355","FAM1450_1K_00064","","FAM22076_1K_00354","",""
"rclA","","hypothetical protein","3","3","1","","","","","","149","1319","539","FAM1213_1K_01457","FAM1450_1K_00084","","FAM22076_1K_01226","",""
"group_1159","","hypothetical protein","3","3","1","198","47","198","40","","236","236","236","FAM1213_1K_01502","FAM1450_1K_01690","","FAM22076_1K_00774","",""
"group_1199","","hypothetical protein","3","3","1","161","7","162","7","","185","185","185","FAM1213_1K_01749","FAM1450_1K_02019","","FAM22076_1K_01829","",""
"group_1232","","hypothetical protein","3","3","1","191","9","192","13","","329","329","329","FAM1213_1K_01900","FAM1450_1K_01314","","FAM22076_1K_01723","",""
"group_1526","","hypothetical protein","3","3","1","198","42","198","23","","182","182","182","FAM1213_1K_00852","FAM1450_1K_01418","","FAM22076_1K_00752","",""
"group_1660","","hypothetical protein","3","3","1","200","116","200","113","","1685","1685","1685","FAM1213_1K_01465","FAM1450_1K_00098","","FAM22076_1K_01213","",""
"glnQ_5","","Glutamine transport ATP-binding protein GlnQ","3","3","1","","","","","","620","620","620","FAM1213_1K_01621","FAM1450_1K_00344","","FAM22076_1K_00958","",""
"group_1695","","hypothetical protein","3","3","1","192","3","191","11","","446","446","446","FAM1213_1K_01623","FAM1450_1K_00342","","FAM22076_1K_00960","",""
"group_1832","","hypothetical protein","3","3","1","132","2","123","2","","200","200","200","FAM1213_1K_02038","FAM1450_1K_01847","","FAM22076_1K_01595","",""
"group_185","","hypothetical protein","3","3","1","171","5","169","7","","527","1886","1430","FAM1213_1K_01040","FAM1450_1K_01629","","FAM22076_1K_01445","",""
"group_190","","hypothetical protein","3","3","1","183","11","183","11","","236","467","314","FAM1213_1K_01084","FAM1450_1K_01168","","FAM22076_1K_00861","",""
"group_199","","hypothetical protein","3","3","1","157","7","156","7","","212","485","306","FAM1213_1K_01295","FAM1450_1K_01240","","FAM22076_1K_01152","",""
"group_239","","hypothetical protein","3","3","1","197","35","197","32","","248","1205","690","FAM1213_1K_01534","FAM1450_1K_01625","","FAM22076_1K_01272","",""
