"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","FAM1213_1K","FAM1450_1K","FAM19191_1K","FAM22076_1K","FAM23285_1K","FAM8102_1K"
"ackA_1","","Acetate kinase","6","6","1","21","60","","","","1184","1184","1184","FAM1213_1K_00503","FAM1450_1K_01389","FAM19191_1K_00211","FAM22076_1K_01254","FAM23285_1K_01215","FAM8102_1K_00317"
"ackA_2","","Acetate kinase","6","6","1","20","22","","","","1184","1187","1185","FAM1213_1K_01085","FAM1450_1K_01169","FAM19191_1K_02065","FAM22076_1K_00862","FAM23285_1K_02052","FAM8102_1K_02158"
"acpP","","Acyl carrier protein","6","6","1","21","1299","","","","242","242","242","FAM1213_1K_01229","FAM1450_1K_00194","FAM19191_1K_00372","FAM22076_1K_00126","FAM23285_1K_00841","FAM8102_1K_00504"
"acpS","","Holo-[acyl-carrier-protein] synthase","6","6","1","16","21","","","","356","356","356","FAM1213_1K_01731","FAM1450_1K_00423","FAM19191_1K_00578","FAM22076_1K_00542","FAM23285_1K_00590","FAM8102_1K_00710"
"add","","Adenosine deaminase","6","6","1","21","852","","","","1001","1001","1001","FAM1213_1K_00810","FAM1450_1K_00334","FAM19191_1K_01728","FAM22076_1K_01707","FAM23285_1K_01649","FAM8102_1K_01789"
"addA","","ATP-dependent helicase/nuclease subunit A","6","6","1","21","439","","","","3614","3614","3614","FAM1213_1K_00020","FAM1450_1K_00015","FAM19191_1K_00128","FAM22076_1K_00188","FAM23285_1K_00195","FAM8102_1K_00203"
"addB","","ATP-dependent helicase/deoxyribonuclease subunit B","6","6","1","21","440","","","","3482","3482","3482","FAM1213_1K_00021","FAM1450_1K_00014","FAM19191_1K_00129","FAM22076_1K_00187","FAM23285_1K_00196","FAM8102_1K_00204"
"adhE","","Aldehyde-alcohol dehydrogenase","6","6","1","20","16","","","","2624","2624","2624","FAM1213_1K_01077","FAM1450_1K_01162","FAM19191_1K_01664","FAM22076_1K_00855","FAM23285_1K_01605","FAM8102_1K_01717"
"adk","","Adenylate kinase","6","6","1","18","25","","","","656","656","656","FAM1213_1K_00938","FAM1450_1K_00616","FAM19191_1K_00720","FAM22076_1K_00460","FAM23285_1K_00691","FAM8102_1K_00851"
"agaA","","N-acetylgalactosamine-6-phosphate deacetylase","6","6","1","20","4","","","","1154","1154","1154","FAM1213_1K_01099","FAM1450_1K_02114","FAM19191_1K_01537","FAM22076_1K_01904","FAM23285_1K_01471","FAM8102_1K_01573"
"alaS","","Alanine--tRNA ligase","6","6","1","21","546","","","","2639","2639","2639","FAM1213_1K_00239","FAM1450_1K_01069","FAM19191_1K_00662","FAM22076_1K_00741","FAM23285_1K_00853","FAM8102_1K_00793"
"alr","","Alanine racemase","6","6","1","16","22","","","","1130","1130","1130","FAM1213_1K_01732","FAM1450_1K_00422","FAM19191_1K_00579","FAM22076_1K_00541","FAM23285_1K_00589","FAM8102_1K_00711"
"amtB","","Ammonia channel","6","6","1","21","1142","","","","1316","1316","1316","FAM1213_1K_02068","FAM1450_1K_00493","FAM19191_1K_00696","FAM22076_1K_01934","FAM23285_1K_00490","FAM8102_1K_00827"
"ansA","","L-asparaginase 1","6","6","1","21","880","","","","1004","1004","1004","FAM1213_1K_01687","FAM1450_1K_00356","FAM19191_1K_01354","FAM22076_1K_00945","FAM23285_1K_01294","FAM8102_1K_01401"
"apbE","","FAD:protein FMN transferase","6","6","1","21","918","","","","929","935","930","FAM1213_1K_00614","FAM1450_1K_00947","FAM19191_1K_00772","FAM22076_1K_00794","FAM23285_1K_00739","FAM8102_1K_00903"
"apt","","Adenine phosphoribosyltransferase","6","6","1","21","1245","","","","527","527","527","FAM1213_1K_00449","FAM1450_1K_01736","FAM19191_1K_00298","FAM22076_1K_01499","FAM23285_1K_00400","FAM8102_1K_00430"
"araQ","","L-arabinose transport system permease protein AraQ","6","6","1","21","840","","","","824","824","824","FAM1213_1K_00824","FAM1450_1K_00807","FAM19191_1K_01476","FAM22076_1K_01123","FAM23285_1K_01404","FAM8102_1K_01898"
"arcC1","","Carbamate kinase 1","6","6","1","21","1237","","","","341","932","493","FAM1213_1K_01702","FAM1450_1K_01767","FAM19191_1K_01828","FAM22076_1K_01459","FAM23285_1K_01948","FAM8102_1K_01932"
